"";"title";"Awards"
"801";"Arise, My Love";"1"
"802";"Around the World in 80 Days";"5"
"803";"The Awful Truth";"1"
"804";"The Bachelor and the Bobby-Soxer";"1"
"805";"The Bad and the Beautiful";"5"
"806";"Bad Girl";"2"
"807";"The Barefoot Contessa";"1"
"808";"The Battle of Midway";"1"
"809";"Battleground";"2"
"810";"Bear Country";"1"
"811";"Becket";"1"
"812";"The Bells of St. Mary's";"1"
"813";"Ben-Hur";"11"
"814";"Benjy";"1"
"815";"The Bespoke Overcoat";"1"
"816";"The Best Years of Our Lives";"7 (1)"
"817";"Beyond the Line of Duty";"1"
"818";"Bicycle Thieves";"0 (1)"
"819";"The Big Broadcast of 1938";"1"
"820";"The Big Country";"1"
"821";"The Big House";"2"
"822";"Bill and Coo";"0 (1)"
"823";"Birds Anonymous";"1"
"824";"The Bishop's Wife";"1"
"825";"Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox)";"1"
"826";"Black Narcissus";"2"
"827";"Black Orpheus (Orfeu Negro)";"1"
"828";"The Black Swan";"1"
"829";"Blithe Spirit";"1"
"830";"Blood and Sand";"1"
"831";"Blood on the Sun";"1"
"832";"Blossoms in the Dust";"1"
"833";"Body and Soul";"1"
"834";"Bored of Education";"1"
"835";"Born Yesterday";"1"
"836";"A Boy and His Dog";"1"
"837";"Boys Town";"2"
"838";"The Brave One";"1"
"839";"Breakfast at Tiffany's";"2"
"840";"Breaking the Sound Barrier";"1"
"841";"The Bridge of San Luis Rey";"1"
"842";"The Bridge on the River Kwai";"7"
"843";"The Bridges at Toko-Ri";"1"
"844";"Broadway Melody of 1936";"1"
"845";"The Broadway Melody";"1"
"846";"Broken Lance";"1"
"847";"Busy Little Bears";"1"
"848";"BUtterfield 8";"1"
"849";"Calamity Jane";"1"
"850";"Call Me Madam";"1"
"851";"Captain Carey, U.S.A.";"1"
"852";"Captains Courageous";"1"
"853";"Casablanca";"3"
"854";"Casals Conducts: 1964";"1"
"855";"The Cat Concerto";"1"
"856";"Cavalcade";"3"
"857";"Chagall";"1"
"858";"The Champ";"2"
"859";"Champion";"1"
"860";"A Chance to Live";"1"
"861";"The Charge of the Light Brigade";"1"
"862";"The Chicken (Le Poulet)";"1"
"863";"Churchill's Island";"1"
"864";"Cimarron";"3"
"865";"The Circus";"0 (1)"
"866";"Citizen Kane";"1"
"867";"City of Wax";"1"
"868";"Cleopatra";"1"
"869";"Cleopatra";"4"
"870";"Climbing the Matterhorn";"1"
"871";"Come and Get It";"1"
"872";"Come Back, Little Sheba";"1"
"873";"Coquette";"1"
"874";"The Country Cousin";"1"
"875";"The Country Girl";"2"
"876";"Cover Girl";"1"
"877";"The Cowboy and the Lady";"1"
"878";"Crash Dive";"1"
"879";"Crashing the Water Barrier";"1"
"880";"The Critic";"1"
"881";"La Cucaracha";"1"
"882";"Cyrano de Bergerac";"1"
"883";"A Damsel in Distress";"1"
"884";"Dangerous";"1"
"885";"The Dark Angel";"1"
"886";"The Dawn Patrol";"1"
"887";"Day of the Painter";"1"
"888";"Daybreak in Udi";"1"
"889";"Days of Wine and Roses";"1"
"890";"December 7th";"1"
"891";"Declaration of Independence";"1"
"892";"The Defiant Ones";"2"
"893";"Der Fuehrer's Face";"1"
"894";"Desert Victory";"1"
"895";"Design for Death";"1"
"896";"Designing Woman";"1"
"897";"Destination Moon";"1"
"898";"The Diary of Anne Frank";"3"
"899";"Disraeli";"1"
"900";"The Divine Lady";"1"
"901";"Divorce Italian Style";"1"
"902";"The Divorcee";"1"
"903";"Dodsworth";"1"
"904";"The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics)";"1"
"905";"A Double Life";"2"
"906";"The Dove";"1"
"907";"Dr. Jekyll and Mr. Hyde";"1"
"908";"Dumbo";"1"
"909";"Dylan Thomas";"1"
"910";"East of Eden";"1"
"911";"Easter Parade";"1"
"912";"Elmer Gantry";"3"
"913";"The Enemy Below";"1"
"914";"Eskimo";"1"
"915";"Exodus";"1"
"916";"The Face of Lincoln";"1"
"917";"Facing Your Danger";"1"
"918";"The Facts of Life";"1"
"919";"Fantasia";"0 (2)"
"920";"A Farewell to Arms";"2"
"921";"The Farmer's Daughter";"1"
"922";"Father Goose";"1"
"923";"Federico Fellini's 8½";"2"
"924";"Ferdinand the Bull";"1"
"925";"The Fighting Lady";"1"
"926";"First Steps";"1"
"927";"Flowers and Trees";"1"
"928";"Folies Bergere";"1"
"929";"For Scent-imental Reasons";"1"
"930";"For Whom the Bell Tolls";"1"
"931";"Forbidden Games";"0 (1)"
"932";"A Force in Readiness";"0 (1)"
"933";"A Free Soul";"1"
"934";"Frenchman's Creek";"1"
"935";"From Here to Eternity";"8"
"936";"The Garden of Allah";"0 (1)"
"937";"Gaslight";"2"
"938";"Gate of Hell (Jigokumon)";"1 (1)"
"939";"The Gay Divorcee";"1"
"940";"Gentleman's Agreement";"3"
"941";"Gerald McBoing-Boing";"1"
"942";"Giant";"1"
"943";"Gigi";"9"
"944";"Giuseppina";"1"
"945";"Give Me Liberty";"1"
"946";"Glass (Glas)";"1"
"947";"The Glenn Miller Story";"1"
"948";"Going My Way";"7"
"949";"Gold Diggers of 1935";"1"
"950";"The Golden Fish (Histoire d'un poisson rouge)";"1"
"951";"Goldfinger";"1"
"952";"Gone with the Wind";"8 (2)"
"953";"The Good Earth";"2"
"954";"Goodbye, Miss Turlock";"1"
"955";"Goodbye, Mr. Chips";"1"
"956";"Grand Canyon";"1"
"957";"Grand Hotel";"1"
"958";"Grandad of Races";"1"
"959";"The Grapes of Wrath";"2"
"960";"The Great Caruso";"1"
"961";"Great Expectations";"2"
"962";"The Great Lie";"1"
"963";"The Great McGinty";"1"
"964";"The Great Waltz";"1"
"965";"The Great Ziegfeld";"3"
"966";"The Greatest Show on Earth";"2"
"967";"Green Dolphin Street";"1"
"968";"The Guns of Navarone";"1"
"969";"Hamlet";"4"
"970";"Happy Anniversary (Heureux Anniversaire)";"1"
"971";"Harvey";"1"
"972";"The Harvey Girls";"1"
"973";"Heavenly Music";"1"
"974";"The Heiress";"4"
"975";"Helen Keller in Her Story (The Unconquered)";"1"
"976";"Hello, Frisco, Hello";"1"
"977";"Henry V";"0 (1)"
"978";"Here Comes Mr. Jordan";"2"
"979";"Here Comes the Groom";"1"
"980";"The High and the Mighty";"1"
"981";"High Noon";"4"
"982";"Hitler Lives";"1"
"983";"A Hole in the Head";"1"
"984";"The Hole";"1"
"985";"Holiday Inn";"1"
"986";"The Horse with the Flying Tail";"1"
"987";"The House I Live In";"0 (1)"
"988";"The House on 92nd Street";"1"
"989";"How Green Was My Valley";"5"
"990";"How the West Was Won";"3"
"991";"How to Sleep";"1"
"992";"Hud";"3"
"993";"The Human Comedy";"1"
"994";"The Hurricane";"1"
"995";"The Hustler";"2"
"996";"I Want to Live!";"1"
"997";"I Wanted Wings";"1"
"998";"I Won't Play";"1"
"999";"I'll Cry Tomorrow";"1"
"1000";"In Beaver Valley";"1"
"1001";"In Old Arizona";"1"
"1002";"In Old Chicago";"2"
"1003";"In Which We Serve";"0 (1)"
"1004";"The Informer";"4"
"1005";"Interrupted Melody";"1"
"1006";"The Invaders";"1"
"1007";"Irma la Douce";"1"
"1008";"It Happened One Night";"5"
"1009";"It's a Mad, Mad, Mad, Mad World";"1"
"1010";"The Jazz Singer";"0 (1)"
"1011";"Jezebel";"2"
"1012";"Joan of Arc";"2 (1)"
"1013";"Johann Mouse";"1"
"1014";"Johnny Belinda";"1"
"1015";"Johnny Eager";"1"
"1016";"The Joker Is Wild";"1"
"1017";"The Jolson Story";"2"
"1018";"Judgment at Nuremberg";"2"
"1019";"Julius Caesar";"1"
"1020";"Kentucky";"1"
"1021";"Key Largo";"1"
"1022";"The King and I";"5"
"1023";"King of Jazz";"1"
"1024";"King Solomon's Mines";"2"
"1025";"Kitty Foyle (Kitty Foyle: The Natural History of a Woman)";"1"
"1026";"Knighty Knight Bugs";"1"
"1027";"Kokoda Front Line!";"1"
"1028";"Kon-Tiki";"1"
"1029";"Krakatoa";"1"
"1030";"Kukan";"0 (1)"
"1031";"La Strada (The Road)";"1"
"1032";"La Dolce Vita";"1"
"1033";"Lady Be Good";"1"
"1034";"The Last Command";"1"
"1035";"Laura";"1"
"1036";"The Lavender Hill Mob";"1"
"1037";"Lawrence of Arabia";"7"
"1038";"Leave Her to Heaven";"1"
"1039";"Lend a Paw";"1"
"1040";"Les Girls";"1"
"1041";"A Letter to Three Wives";"2"
"1042";"The Life of Emile Zola";"3"
"1043";"Light in the Window";"1"
"1044";"Lili";"1"
"1045";"Lilies of the Field";"1"
"1046";"The Little Kidnappers (The Kidnappers)";"0 (2)"
"1047";"The Little Orphan";"1"
"1048";"Little Women";"1"
"1049";"Little Women";"1"
"1050";"The Lives of a Bengal Lancer";"1"
"1051";"The Living Desert";"1"
"1052";"The Longest Day";"2"
"1053";"Lost Horizon";"2"
"1054";"The Lost Weekend";"4"
"1055";"Love Is a Many-Splendored Thing";"3"
"1056";"Love Me or Leave Me";"1"
"1057";"Lust for Life";"1"
"1058";"Magoo's Puddle Jumper";"1"
"1059";"Main Street on the March!";"1"
"1060";"The Man Who Knew Too Much";"1"
"1061";"Manhattan Melodrama";"1"
"1062";"Marie-Louise";"1"
"1063";"Marty";"4"
"1064";"Mary Poppins";"5"
"1065";"Men Against the Arctic";"1"
"1066";"The Merry Widow";"1"
"1067";"A Midsummer Night's Dream";"2"
"1068";"Mighty Joe Young";"1"
"1069";"Mildred Pierce";"1"
"1070";"The Milky Way";"1"
"1071";"Min and Bill";"1"
"1072";"Miracle on 34th Street";"3"
"1073";"The Miracle Worker";"2"
"1074";"Mister Roberts";"1"
"1075";"Monsieur Vincent";"0 (1)"
"1076";"Moonbird";"1"
"1077";"The More the Merrier";"1"
"1078";"Morning Glory";"1"
"1079";"Moscow Strikes Back";"1"
"1080";"Mother Wore Tights";"1"
"1081";"Moulin Rouge";"2"
"1082";"Mouse Trouble";"1"
"1083";"Mr. Deeds Goes to Town";"1"
"1084";"Mr. Smith Goes to Washington";"1"
"1085";"Mrs. Miniver";"6"
"1086";"Munro";"1"
"1087";"The Music Box";"1"
"1088";"The Music Man";"1"
"1089";"Mutiny on the Bounty";"1"
"1090";"My Fair Lady";"8"
"1091";"My Uncle (Mon oncle)";"1"
"1092";"My Gal Sal";"1"
"1093";"The Naked City";"2"
"1094";"National Velvet";"2"
"1095";"Nature's Half Acre";"1"
"1096";"Naughty Marietta";"1"
"1097";"Neighbours";"1"
"1098";"Neptune's Daughter";"1"
"1099";"Never on Sunday (Pote tin Kyriaki)";"1"
"1100";"The Night of the Iguana";"1"
"1101";"Nights of Cabiria (Le Notti di Cabiria)";"1"
"1102";"Nine from Little Rock";"1"
"1103";"None But the Lonely Heart";"1"
"1104";"North West Mounted Police";"1"
"1105";"Now, Voyager";"1"
"1106";"An Occurrence at Owl Creek Bridge";"1"
"1107";"Of Pups and Puzzles";"1"
"1108";"Oklahoma!";"2"
"1109";"The Old Man and the Sea";"1"
"1110";"The Old Mill";"1"
"1111";"On the Town";"1"
"1112";"On the Waterfront";"8"
"1113";"One Hundred Men and a Girl";"1"
"1114";"One Night of Love";"2"
"1115";"One Way Passage";"1"
"1116";"Overture to The Merry Wives of Windsor";"1"
"1117";"The Paleface";"1"
"1118";"Panic in the Streets";"1"
"1119";"Papa's Delicate Condition";"1"
"1120";"The Patriot";"1"
"1121";"Penny Wisdom";"1"
"1122";"Phantom of the Opera";"2"
"1123";"The Philadelphia Story";"2"
"1124";"Picnic";"2"
"1125";"The Picture of Dorian Gray";"1"
"1126";"Pillow Talk";"1"
"1127";"The Pink Phink";"1"
"1128";"Pinocchio";"2"
"1129";"A Place in the Sun";"6"
"1130";"Plymouth Adventure";"1"
"1131";"Pollyanna";"0 (1)"
"1132";"Porgy and Bess";"1"
"1133";"Portrait of Jennie";"1"
"1134";"Prelude to War";"1"
"1135";"Pride and Prejudice";"1"
"1136";"The Pride of the Yankees";"1"
"1137";"Princess O'Rourke";"1"
"1138";"The Private Life of Henry VIII";"1"
"1139";"The Private Life of the Gannets";"1"
"1140";"Project Hope";"1"
"1141";"The Public Pays";"1"
"1142";"Pygmalion";"1"
"1143";"Quicker'n a Wink";"1"
"1144";"The Quiet Man";"2"
"1145";"Quiet Please!";"1"
"1146";"The Rains Came";"1"
"1147";"Rashomon";"0 (1)"
"1148";"The Razor's Edge";"1"
"1149";"Reap the Wild Wind";"1"
"1150";"Rebecca";"2"
"1151";"The Red Balloon (Le ballon rouge)";"1"
"1152";"The Red Shoes";"2"
"1153";"The Robe";"2"
"1154";"Robert Frost: A Lover's Quarrel with the World";"1"
"1155";"Roman Holiday";"3"
"1156";"Room at the Top";"2"
"1157";"The Rose Tattoo";"3"
"1158";"Sabrina";"1"
"1159";"Samson and Delilah";"2"
"1160";"Samurai I: Musashi Miyamoto (Miyamoto Musashi)";"0 (1)"
"1161";"San Francisco";"1"
"1162";"Sayonara";"4"
"1163";"The Scoundrel";"1"
"1164";"The Sea Around Us";"1"
"1165";"Seal Island";"1"
"1166";"The Search";"1 (1)"
"1167";"Seawards the Great Ships";"1"
"1168";"The Secret Land";"1"
"1169";"Seeds of Destiny";"1"
"1170";"Separate Tables";"2"
"1171";"Serengeti Shall Not Die (Serengeti darf nicht sterben)";"1"
"1172";"Sergeant York";"2"
"1173";"Seven Brides for Seven Brothers";"1"
"1174";"Seven Days to Noon";"1"
"1175";"The Seventh Veil";"1"
"1176";"Shane";"1"
"1177";"Shanghai Express";"1"
"1178";"She Wore a Yellow Ribbon";"1"
"1179";"Shoeshine (Sciuscià)";"0 (1)"
"1180";"The Silent World (Le Monde du silence)";"1"
"1181";"The Sin of Madelon Claudet";"1"
"1182";"Since You Went Away";"1"
"1183";"Skippy";"1"
"1184";"Sky Above and Mud Beneath (Le Ciel et la boue)";"1"
"1185";"The Snake Pit";"1"
"1186";"Snow White and the Seven Dwarfs";"0 (1)"
"1187";"So Much for So Little";"1"
"1188";"So This Is Harris!";"1"
"1189";"The Solid Gold Cadillac";"1"
"1190";"Some Like It Hot";"1"
"1191";"Somebody Up There Likes Me";"2"
"1192";"The Song of Bernadette";"4"
"1193";"Song of the South";"1 (1)"
"1194";"Song Without End";"1"
"1195";"Sons and Lovers";"1"
"1196";"Sons of Liberty";"1"
"1197";"South Pacific";"1"
"1198";"Spartacus";"4"
"1199";"Spawn of the North";"0 (1)"
"1200";"Speaking of Animals and Their Families";"1"
"1201";"Speedy Gonzales";"1"
"1202";"Spellbound";"1"
"1203";"Splendor in the Grass";"1"
"1204";"Stagecoach";"2"
"1205";"Stairway to Light";"1"
"1206";"Stalag 17";"1"
"1207";"Star in the Night";"1"
"1208";"A Star Is Born";"1 (1)"
"1209";"State Fair";"1"
"1210";"The Story of Louis Pasteur";"3"
"1211";"The Stratton Story";"1"
"1212";"Street Angel";"1"
"1213";"A Streetcar Named Desire";"4"
"1214";"Strike Up the Band";"1"
"1215";"The Substitute";"1"
"1216";"Sundays and Cybele (Le Dimanches de Ville d'Avray)";"1"
"1217";"Sunrise";"3"
"1218";"Sunset Boulevard";"3"
"1219";"Survival City";"1"
"1220";"Suspicion";"1"
"1221";"Sweet Bird of Youth";"1"
"1222";"Sweethearts";"0 (1)"
"1223";"Swing Time";"1"
"1224";"Symphony of a City";"1"
"1225";"Tabu";"1"
"1226";"Target for Tonight";"0 (1)"
"1227";"Teddy, the Rough Rider";"1"
"1228";"Tempest";"1"
"1229";"The Ten Commandments";"1"
"1230";"That Hamilton Woman";"1"
"1231";"That Mothers Might Live";"1"
"1232";"The Thief of Bagdad";"3"
"1233";"The Third Man";"1"
"1234";"Thirty Seconds Over Tokyo";"1"
"1235";"This Above All";"1"
"1236";"This Is the Army";"1"
"1237";"This Land Is Mine";"1"
"1238";"This Mechanical Age";"1"
"1239";"Three Coins in the Fountain";"2"
"1240";"The Three Faces of Eve";"1"
"1241";"Three Little Pigs";"1"
"1242";"Three Orphan Kittens";"1"
"1243";"Through a Glass Darkly (Såsom i en spegel)";"1"
"1244";"Thunderball";"1"
"1245";"Thursday's Children";"1"
"1246";"The Time Machine";"1"
"1247";"A Time Out of War";"1"
"1248";"Tin Pan Alley";"1"
"1249";"The Titan: Story of Michelangelo";"1"
"1250";"Titanic";"1"
"1251";"To Catch a Thief";"1"
"1252";"To Each His Own";"1"
"1253";"To Kill a Mockingbird";"3"
"1254";"Tom Jones";"4"
"1255";"tom thumb";"1"
"1256";"Toot, Whistle, Plunk and Boom";"1"
"1257";"Topkapi";"1"
"1258";"The Tortoise and the Hare";"1"
"1259";"Torture Money";"1"
"1260";"Toward Independence";"1"
"1261";"Transatlantic";"1"
"1262";"The Treasure of the Sierra Madre";"3"
"1263";"A Tree Grows in Brooklyn";"1"
"1264";"The True Glory";"1"
"1265";"The True Story of the Civil War";"1"
"1266";"Tweetie Pie";"1"
"1267";"Twelve O'Clock High";"2"
"1268";"Two Arabian Knights";"1"
"1269";"The Two Mouseketeers";"1"
"1270";"Two Women (La Ciociara)";"1"
"1271";"The Ugly Duckling";"1"
"1272";"Underworld";"1"
"1273";"The V.I.P.s";"1"
"1274";"Vacation from Marriage (UK title Perfect Strangers)";"1"
"1275";"Van Gogh";"1"
"1276";"The Vanishing Prairie";"1"
"1277";"The Virgin Spring (Jungfrukällan)";"1"
"1278";"Viva Villa!";"1"
"1279";"Viva Zapata!";"1"
"1280";"Waikiki Wedding";"1"
"1281";"The Walls of Malapaga";"0 (1)"
"1282";"The War of the Worlds";"1"
"1283";"Watch on the Rhine";"1"
"1284";"Water Birds";"1"
"1285";"The Way of All Flesh";"1"
"1286";"West Side Story";"10"
"1287";"The Westerner";"1"
"1288";"The Wetback Hound";"1"
"1289";"What Ever Happened to Baby Jane?";"1"
"1290";"When Tomorrow Comes";"1"
"1291";"When Magoo Flew";"1"
"1292";"When Worlds Collide";"1"
"1293";"White Shadows in the South Seas";"1"
"1294";"White Wilderness";"1"
"1295";"Who's Who in Animal Land";"1"
"1296";"Why Korea?";"1"
"1297";"Wilson";"5"
"1298";"Wings";"2"
"1299";"Wings Over Everest";"1"
"1300";"With a Song in My Heart";"1"
"1301";"With Byrd at the South Pole";"1"
"1302";"With the Marines at Tarawa";"1"
"1303";"The Wizard of Oz";"2"
"1304";"Woman of the Year";"1"
"1305";"Wonder Man";"1"
"1306";"The Wonderful World of the Brothers Grimm";"1"
"1307";"World of Kids";"1"
"1308";"World Without Sun (Le Monde sans soleil)";"1"
"1309";"Wrestling Swordfish";"1"
"1310";"Written on the Wind";"1"
"1311";"Wuthering Heights";"1"
"1312";"Yankee Doodle Dandy";"3"
"1313";"The Yankee Doodle Mouse";"1"
"1314";"The Yearling";"2"
"1315";"Yesterday, Today and Tomorrow (Ieri, oggi, domani)";"1"
"1316";"You Can't Take It with You";"2"
"1317";"Zorba the Greek (Alexis Zorbas)";"3"
