"";"title";"Awards"
"201";"Letters from Iwo Jima";"1"
"202";"Pirates of the Caribbean: Dead Man's Chest";"1"
"203";"The Danish Poet";"1"
"204";"Happy Feet";"1"
"205";"The Last King of Scotland";"1"
"206";"The Lives of Others (Das Leben der Anderen)";"1"
"207";"Marie Antoinette";"1"
"208";"West Bank Story";"1"
"209";"The Blood of Yingzhou District";"1"
"210";"Crash";"3"
"211";"Brokeback Mountain";"3"
"212";"Memoirs of a Geisha";"3"
"213";"King Kong";"3"
"214";"Capote";"1"
"215";"Walk the Line";"1"
"216";"The Constant Gardener";"1"
"217";"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe";"1"
"218";"Hustle & Flow";"1"
"219";"Syriana";"1"
"220";"March of the Penguins (La Marche de l'empereur)";"1"
"221";"Six Shooter";"1"
"222";"The Moon and the Son: An Imagined Conversation";"1"
"223";"A Note of Triumph: The Golden Age of Norman Corwin";"1"
"224";"Tsotsi";"1"
"225";"Wallace & Gromit: The Curse of the Were-Rabbit";"1"
"226";"Million Dollar Baby";"4"
"227";"The Aviator";"5"
"228";"Ray";"2"
"229";"The Incredibles";"2"
"230";"Finding Neverland";"1"
"231";"Sideways";"1"
"232";"Lemony Snicket's A Series of Unfortunate Events";"1"
"233";"Spider-Man 2";"1"
"234";"Eternal Sunshine of the Spotless Mind";"1"
"235";"The Motorcycle Diaries";"1"
"236";"The Sea Inside";"1"
"237";"Born into Brothels";"1"
"238";"Mighty Times: The Children's March";"1"
"239";"Wasp";"1"
"240";"Ryan";"1"
"241";"The Lord of the Rings: The Return of the King";"11"
"242";"Master and Commander: The Far Side of the World";"2"
"243";"Mystic River";"2"
"244";"Cold Mountain";"1"
"245";"Lost in Translation";"1"
"246";"Finding Nemo";"1"
"247";"The Barbarian Invasions";"1"
"248";"Two Soldiers";"1"
"249";"Monster";"1"
"250";"Harvie Krumpet";"1"
"251";"Chernobyl Heart";"1"
"252";"The Fog of War";"1"
"253";"Chicago";"6"
"254";"The Pianist";"3"
"255";"The Lord of the Rings: The Two Towers";"2"
"256";"Frida";"2"
"257";"The Hours";"1"
"258";"Road to Perdition";"1"
"259";"Adaptation";"1"
"260";"Talk to Her (Hable con ella)";"1"
"261";"This Charming Man (Der Er En Yndig Mand)";"1"
"262";"Spirited Away";"1"
"263";"Nowhere in Africa (Nirgendwo in Afrika)";"1"
"264";"The ChubbChubbs!";"1"
"265";"Twin Towers";"1"
"266";"Bowling for Columbine";"1"
"267";"8 Mile";"1"
"268";"A Beautiful Mind";"4"
"269";"The Lord of the Rings: The Fellowship of the Ring";"4"
"270";"Moulin Rouge!";"2"
"271";"Black Hawk Down";"2"
"272";"Gosford Park";"1"
"273";"Monsters, Inc.";"1"
"274";"Pearl Harbor";"1"
"275";"Iris";"1"
"276";"Shrek";"1"
"277";"Training Day";"1"
"278";"Monster's Ball";"1"
"279";"Thoth";"1"
"280";"For the Birds";"1"
"281";"No Man's Land";"1"
"282";"Murder on a Sunday Morning (Un coupable idéal)";"1"
"283";"The Accountant";"1"
"284";"Gladiator";"5"
"285";"Crouching Tiger, Hidden Dragon";"4"
"286";"Traffic";"4"
"287";"Erin Brockovich";"1"
"288";"Almost Famous";"1"
"289";"Wonder Boys";"1"
"290";"How the Grinch Stole Christmas";"1"
"291";"U-571";"1"
"292";"Pollock";"1"
"293";"Father and Daughter";"1"
"294";"Into the Arms of Strangers: Stories of the Kindertransport";"1"
"295";"Quiero ser (I want to be...)";"1"
"296";"Big Mama";"1"
"297";"American Beauty";"5"
"298";"The Matrix";"4"
"299";"The Cider House Rules";"2"
"300";"Topsy-Turvy";"2"
"301";"Sleepy Hollow";"1"
"302";"Boys Don't Cry";"1"
"303";"Tarzan";"1"
"304";"One Day in September";"1"
"305";"The Red Violin (Le violon rouge)";"1"
"306";"The Old Man and the Sea";"1"
"307";"My Mother Dreams the Satan's Disciples in New York";"1"
"308";"King Gimp";"1"
"309";"Girl, Interrupted";"1"
"310";"All About My Mother (Todo sobre mi madre)";"1"
"311";"Shakespeare in Love";"7"
"312";"Saving Private Ryan";"5"
"313";"Life Is Beautiful (La vita è bella)";"3"
"314";"Elizabeth";"1"
"315";"Gods and Monsters";"1"
"316";"The Prince of Egypt";"1"
"317";"Affliction";"1"
"318";"What Dreams May Come";"1"
"319";"The Personals";"1"
"320";"The Last Days";"1"
"321";"Election Night (Valgaften)";"1"
"322";"Bunny";"1"
"323";"Titanic";"11"
"324";"Good Will Hunting";"2"
